Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
10,10,Wooster,2023-01-20,1,Chromatic,Bar,1,0,1,1,1,LowerLeft,LightRed,DarkPurple,DarkGreen,LightYellow,DarkGreen,UpperLeft,LightYellow,0,8.35048353334602,1
10,10,Wooster,2023-01-20,2,Colors,DarkYellow,1,1,1,1,1,LowerRight,Rabbit,Spike,Puzzle,Dodecagon,Spike,LowerRight,Spike,0.793478260869565,0.443070244195177,1
10,10,Wooster,2023-01-20,3,Chromatic,Spade,1,1,1,1,1,UpperLeft,LightGreen,DarkGreen,DarkGray,LightTurquiose,LightTurquiose,UpperLeft,LightTurquiose,0.1,3.3599059065926,1
10,10,Wooster,2023-01-20,4,Colors,LightPurple,1,0,1,1,1,UpperRight,Rabbit,Spike,Nail,Lock,Rabbit,LowerRight,Spike,0.852272727272727,0.303130022780191,1
10,10,Wooster,2023-01-20,5,Chromatic,Venn,1,1,1,1,1,UpperRight,LightGray,DarkYellow,LightYellow,DarkTurquiose,LightGray,UpperRight,LightGray,0.888888888888889,0.200914799820674,1
10,10,Wooster,2023-01-20,6,Colors,LightGreen,1,1,1,1,1,UpperRight,Lock,Hat,Bar,Rabbit,Lock,UpperRight,Lock,0.0947368421052632,4.73563054415275,1
10,10,Wooster,2023-01-20,7,Chromatic,Diamond,1,1,1,1,1,UpperLeft,DarkBlue,DarkGray,LightPurple,LightYellow,LightYellow,UpperLeft,LightYellow,0.922222222222222,0.190313043046023,1
10,10,Wooster,2023-01-20,8,Colors,DarkRed,1,1,1,1,1,UpperRight,UpArrow,Spade,Rabbit,Lock,UpArrow,UpperRight,UpArrow,0.97752808988764,0.188404492014871,1
10,10,Wooster,2023-01-20,9,Chromatic,Dodecagon,1,0,1,1,1,UpperLeft,DarkGreen,LightTurquiose,LightPurple,DarkTurquiose,DarkTurquiose,LowerRight,LightTurquiose,0.0555555555555556,3.2768204713078,1
10,10,Wooster,2023-01-20,10,Colors,DarkBlue,1,0,1,1,1,UpperLeft,UpArrow,Hat,Bar,Nail,Nail,UpperRight,UpArrow,0.771739130434783,0.25973943641973,1
10,10,Wooster,2023-01-20,11,Chromatic,Puzzle,1,0,1,1,1,LowerLeft,LightTurquiose,DarkBlue,DarkPurple,LightGreen,DarkPurple,UpperRight,LightTurquiose,0.920454545454545,0.155734839640818,1
10,10,Wooster,2023-01-20,12,Colors,DarkTurquiose,1,0,1,1,1,UpperLeft,Puzzle,Spade,Rabbit,Dodecagon,Dodecagon,UpperRight,Puzzle,0.373626373626374,4.09117514441988,1
10,10,Wooster,2023-01-20,13,Chromatic,Nail,1,1,1,1,1,LowerLeft,DarkYellow,DarkGreen,DarkBlue,LightYellow,DarkBlue,LowerLeft,DarkBlue,0.921348314606742,0.22062519530338,1
10,10,Wooster,2023-01-20,14,Colors,LightGray,1,0,1,1,1,LowerLeft,Hat,Lock,Venn,UpArrow,Venn,LowerRight,Lock,0.9,0.171500265462408,1
10,10,Wooster,2023-01-20,15,Chromatic,Spike,1,0,1,1,1,LowerLeft,DarkGray,LightYellow,DarkYellow,LightGreen,DarkYellow,None,None,0.149425287356322,3.27659457016839,1
10,10,Wooster,2023-01-20,16,Colors,LightRed,1,1,1,1,1,LowerRight,Spike,Hourglass,Lock,Dodecagon,Hourglass,LowerRight,Hourglass,0.855555555555556,0.282643177268323,1
10,10,Wooster,2023-01-20,17,Chromatic,Lock,1,1,1,1,1,UpperLeft,LightTurquiose,DarkBlue,LightBlue,LightGreen,LightGreen,UpperLeft,LightGreen,0.903225806451613,0.221231386587239,1
10,10,Wooster,2023-01-20,18,Colors,DarkGreen,1,1,1,1,1,LowerLeft,Venn,Spade,Bar,Lock,Bar,LowerLeft,Bar,0.391304347826087,1.57544082762646,1
10,10,Wooster,2023-01-20,19,Chromatic,Hat,1,0,1,1,1,UpperRight,DarkGray,DarkGreen,DarkBlue,LightGray,DarkGray,LowerLeft,DarkBlue,0.191011235955056,9.69835111274997,1
10,10,Wooster,2023-01-20,20,Colors,DarkPurple,1,0,1,1,1,UpperLeft,Spade,Lock,Hourglass,Puzzle,Puzzle,LowerLeft,Hourglass,0.945054945054945,0.230135622896585,1
10,10,Wooster,2023-01-20,21,Chromatic,UpArrow,1,1,1,1,1,LowerRight,DarkTurquiose,DarkRed,LightBlue,DarkBlue,DarkRed,LowerRight,DarkRed,0.119565217391304,1.92206067568595,1
10,10,Wooster,2023-01-20,22,Colors,LightYellow,1,0,1,1,1,UpperRight,Diamond,UpArrow,Puzzle,Lock,Diamond,LowerRight,UpArrow,0.833333333333333,0.181538362181295,1
10,10,Wooster,2023-01-20,23,Chromatic,Hourglass,1,1,1,1,1,LowerRight,DarkPurple,LightRed,DarkGreen,LightYellow,LightRed,LowerRight,LightRed,0.911111111111111,0.164857041331745,1
10,10,Wooster,2023-01-20,24,Colors,LightBlue,1,0,1,1,1,UpperLeft,Rabbit,Bar,Hourglass,Sawblade,Sawblade,None,None,0.197802197802198,3.25294544260915,1
10,10,Wooster,2023-01-20,25,Chromatic,Rabbit,1,0,1,1,1,LowerRight,DarkRed,LightPurple,LightBlue,DarkYellow,LightPurple,UpperRight,DarkRed,0.880434782608696,0.293517299733556,1
10,10,Wooster,2023-01-20,26,Colors,DarkGray,1,0,1,1,1,LowerRight,Sawblade,Hat,Lock,Spike,Hat,LowerLeft,Lock,0.965909090909091,0.274065889516921,1
10,10,Wooster,2023-01-20,27,Chromatic,Sawblade,1,0,1,1,1,UpperLeft,LightYellow,DarkGreen,DarkTurquiose,LightBlue,LightBlue,None,None,0.0888888888888889,4.31823414611372,1
10,10,Wooster,2023-01-20,28,Colors,LightTurquiose,1,0,1,1,1,LowerRight,Sawblade,Spade,Spike,Rabbit,Spade,UpperRight,Sawblade,0.802197802197802,0.293423711479141,1
1,1,Wooster,2023-01-20,1,Colors,DarkBlue,1,0,1,1,1,LowerLeft,Lock,Spike,Nail,Hat,Nail,UpperRight,Lock,0.8,0.823414181488829,1
1,1,Wooster,2023-01-20,2,Chromatic,Hourglass,1,0,1,1,1,LowerLeft,DarkPurple,LightBlue,LightRed,DarkGreen,LightRed,LowerRight,LightBlue,0.923076923076923,0.217248245421772,1
1,1,Wooster,2023-01-20,3,Colors,LightTurquiose,1,1,1,1,1,LowerRight,Hourglass,Spade,Nail,Puzzle,Spade,LowerRight,Spade,0.25,3.28682933484926,1
1,1,Wooster,2023-01-20,4,Chromatic,Puzzle,1,0,1,1,1,LowerLeft,LightPurple,DarkBlue,DarkPurple,LightRed,DarkPurple,LowerRight,DarkBlue,0.829545454545455,0.635313771054836,1
1,1,Wooster,2023-01-20,5,Colors,LightPurple,1,1,1,1,1,UpperRight,Rabbit,Spade,Puzzle,Venn,Rabbit,UpperRight,Rabbit,0.898876404494382,0.226834146394643,1
1,1,Wooster,2023-01-20,6,Chromatic,Lock,1,1,1,1,1,LowerRight,LightGray,LightGreen,DarkRed,DarkGray,LightGreen,LowerRight,LightGreen,0.233333333333333,4.43964388495987,1
1,1,Wooster,2023-01-20,7,Colors,LightGray,1,0,1,1,1,LowerLeft,Lock,Sawblade,Venn,Spike,Venn,UpperRight,Lock,0.904255319148936,0.226308009682823,1
1,1,Wooster,2023-01-20,8,Chromatic,Nail,1,0,1,1,1,UpperLeft,LightYellow,LightTurquiose,LightRed,DarkBlue,DarkBlue,LowerRight,LightTurquiose,1,0.188404492014871,1
1,1,Wooster,2023-01-20,9,Colors,DarkGray,1,1,1,1,1,UpperRight,Hat,Venn,Diamond,Dodecagon,Hat,UpperRight,Hat,0.179775280898876,5.04923865089175,1
1,1,Wooster,2023-01-20,10,Chromatic,Rabbit,1,0,1,1,1,UpperRight,LightPurple,LightGreen,DarkGreen,LightYellow,LightPurple,LowerRight,LightGreen,0.911111111111111,0.357750197577609,1
1,1,Wooster,2023-01-20,11,Colors,DarkGreen,1,1,1,1,1,UpperRight,Bar,Lock,Dodecagon,Hat,Bar,UpperRight,Bar,1,0.279940035426708,1
1,1,Wooster,2023-01-20,12,Chromatic,Spike,1,0,1,1,1,UpperLeft,DarkTurquiose,DarkBlue,LightBlue,DarkYellow,DarkYellow,UpperRight,DarkTurquiose,0.238636363636364,4.56857424854063,1
1,1,Wooster,2023-01-20,13,Colors,DarkPurple,1,0,1,1,1,UpperLeft,Dodecagon,Spike,Rabbit,Puzzle,Puzzle,LowerRight,Spike,0.934065934065934,0.393164696992024,1
1,1,Wooster,2023-01-20,14,Chromatic,Sawblade,1,1,1,1,1,LowerRight,LightRed,LightBlue,LightYellow,DarkGray,LightBlue,LowerRight,LightBlue,0.89010989010989,0.37613971965158,1
1,1,Wooster,2023-01-20,15,Colors,DarkTurquiose,1,1,1,1,1,UpperRight,Dodecagon,Nail,Lock,Spade,Dodecagon,UpperRight,Dodecagon,0.285714285714286,3.29668607408333,1
1,1,Wooster,2023-01-20,16,Chromatic,Hat,1,1,1,1,1,LowerLeft,LightPurple,DarkPurple,DarkGray,DarkGreen,DarkGray,LowerLeft,DarkGray,0.897727272727273,0.359427542648351,1
1,1,Wooster,2023-01-20,17,Colors,DarkRed,1,0,1,1,1,LowerLeft,Sawblade,Dodecagon,UpArrow,Diamond,UpArrow,UpperRight,Sawblade,0.945054945054945,0.384940973255269,1
1,1,Wooster,2023-01-20,18,Chromatic,Diamond,1,1,1,1,1,UpperRight,LightYellow,DarkRed,DarkYellow,DarkBlue,LightYellow,UpperRight,LightYellow,0.172043010752688,4.62278461440887,1
1,1,Wooster,2023-01-20,19,Colors,LightRed,1,0,1,1,1,UpperRight,Hourglass,Spike,Diamond,Bar,Hourglass,LowerRight,Spike,0.833333333333333,0.299015881956119,1
1,1,Wooster,2023-01-20,20,Chromatic,Spade,1,1,1,1,1,LowerLeft,LightGray,LightPurple,LightTurquiose,LightBlue,LightTurquiose,LowerLeft,LightTurquiose,0.943181818181818,0.32716245360883,1
1,1,Wooster,2023-01-20,21,Colors,LightYellow,1,1,1,1,1,LowerRight,Spade,Diamond,Venn,Rabbit,Diamond,LowerRight,Diamond,0.111111111111111,3.43186342653033,1
1,1,Wooster,2023-01-20,22,Chromatic,Bar,1,0,1,1,1,LowerLeft,LightRed,LightPurple,DarkGreen,DarkTurquiose,DarkGreen,UpperRight,LightRed,0.861702127659574,0.295012981971584,1
1,1,Wooster,2023-01-20,23,Colors,LightBlue,1,0,1,1,1,LowerRight,Lock,Sawblade,Rabbit,Dodecagon,Sawblade,UpperRight,Lock,0.97752808988764,0.232344601355273,1
1,1,Wooster,2023-01-20,24,Chromatic,Dodecagon,1,0,1,1,1,LowerRight,DarkGray,DarkTurquiose,DarkGreen,LightGreen,DarkTurquiose,UpperLeft,LightGreen,0.0777777777777778,4.25689355706704,1
1,1,Wooster,2023-01-20,25,Colors,DarkYellow,1,1,1,1,1,UpperLeft,Hat,UpArrow,Venn,Spike,Spike,UpperLeft,Spike,0.758241758241758,0.356678368339416,1
1,1,Wooster,2023-01-20,26,Chromatic,Venn,1,1,1,1,1,LowerLeft,DarkYellow,DarkTurquiose,LightGray,LightPurple,LightGray,LowerLeft,LightGray,1,0.298518727516728,1
1,1,Wooster,2023-01-20,27,Colors,LightGreen,1,0,1,1,1,UpperRight,Lock,Bar,Dodecagon,Rabbit,Lock,LowerRight,Bar,0.147727272727273,3.30985689901675,1
1,1,Wooster,2023-01-20,28,Chromatic,UpArrow,1,1,1,1,1,LowerRight,LightGray,DarkRed,DarkPurple,DarkGray,DarkRed,LowerRight,DarkRed,0.933333333333333,0.470851338951149,1
2,2,Wooster,2023-01-20,1,Chromatic,Dodecagon,1,0,1,1,1,LowerRight,DarkGray,DarkTurquiose,DarkBlue,LightGray,DarkTurquiose,LowerLeft,DarkBlue,0.866666666666667,0.308280072021247,1
