Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
10,10,Wooster,2023-02-02,1,Chromatic,Lock,1,1,3,0,1,LowerLeft,DarkTurquiose,LightGray,LightGreen,DarkPurple,LightGreen,LowerLeft,LightGreen,0.111524163568773,10.4044979377701,1
10,10,Wooster,2023-02-02,2,Chromatic,Lock,1,1,3,0,1,UpperLeft,LightGray,DarkTurquiose,DarkPurple,LightGreen,LightGreen,UpperLeft,LightGreen,0.854477611940298,0.578262107996861,1
10,10,Wooster,2023-02-02,3,Chromatic,Puzzle,1,0,3,0,1,UpperLeft,LightGray,LightGreen,DarkTurquiose,DarkPurple,DarkPurple,LowerRight,LightGreen,0.655555555555556,0.725706846553354,1
10,10,Wooster,2023-02-02,4,Chromatic,Lock,1,1,3,0,1,UpperRight,LightGreen,LightGray,DarkTurquiose,DarkPurple,LightGreen,UpperRight,LightGreen,0.744444444444444,0.789030506884958,1
10,10,Wooster,2023-02-02,5,Colors,LightGray,1,1,3,0,1,LowerRight,Lock,Venn,Dodecagon,Puzzle,Venn,LowerRight,Venn,0.601476014760148,0.862844195340815,1
10,10,Wooster,2023-02-02,6,Colors,LightGreen,1,1,3,0,1,UpperLeft,Venn,Dodecagon,Puzzle,Lock,Lock,UpperLeft,Lock,0.947955390334573,0.606145436018694,1
10,10,Wooster,2023-02-02,7,Chromatic,Venn,1,0,3,0,1,LowerLeft,DarkTurquiose,DarkPurple,LightGray,LightGreen,LightGray,UpperRight,DarkTurquiose,0.708487084870849,0.70890308889969,1
10,10,Wooster,2023-02-02,8,Colors,LightGray,1,1,3,0,1,LowerRight,Lock,Venn,Puzzle,Dodecagon,Venn,LowerRight,Venn,0.899628252788104,0.425274656146946,1
10,10,Wooster,2023-02-02,9,Colors,LightGray,1,1,3,0,1,UpperRight,Venn,Puzzle,Dodecagon,Lock,Venn,UpperRight,Venn,0.778195488721805,0.570522268686267,1
10,10,Wooster,2023-02-02,10,Chromatic,Puzzle,1,1,3,0,1,UpperRight,DarkPurple,LightGreen,LightGray,DarkTurquiose,DarkPurple,UpperRight,DarkPurple,0.602996254681648,0.657301553875495,1
10,10,Wooster,2023-02-02,11,Colors,DarkTurquiose,1,1,3,0,1,UpperRight,Dodecagon,Venn,Lock,Puzzle,Dodecagon,UpperRight,Dodecagon,0.962686567164179,0.567942072142627,1
10,10,Wooster,2023-02-02,12,Chromatic,Puzzle,1,1,3,0,1,LowerLeft,LightGray,LightGreen,DarkPurple,DarkTurquiose,DarkPurple,LowerLeft,DarkPurple,0.485185185185185,1.49962039702755,1
10,10,Wooster,2023-02-02,13,Colors,LightGray,1,1,3,0,1,LowerRight,Dodecagon,Venn,Puzzle,Lock,Venn,LowerRight,Venn,0.922794117647059,0.570522268686267,1
10,10,Wooster,2023-02-02,14,Colors,DarkPurple,1,0,3,0,1,UpperLeft,Lock,Venn,Dodecagon,Puzzle,Puzzle,LowerRight,Venn,0.415441176470588,2.39351692992966,1
10,10,Wooster,2023-02-02,15,Colors,DarkPurple,1,1,3,0,1,UpperLeft,Venn,Dodecagon,Lock,Puzzle,Puzzle,UpperLeft,Puzzle,0.905109489051095,0.504343877403866,1
10,10,Wooster,2023-02-02,16,Colors,LightGray,1,1,3,0,1,LowerLeft,Lock,Dodecagon,Venn,Puzzle,Venn,LowerLeft,Venn,0.518382352941177,0.977072292026807,1
10,10,Wooster,2023-02-02,17,Chromatic,Lock,1,1,3,0,1,UpperRight,LightGreen,DarkTurquiose,LightGray,DarkPurple,LightGreen,UpperRight,LightGreen,0.638376383763838,0.783198842772456,1
