Run,IMA,Subject,Session,Blocknumber,Blocktype,Stimulus,ProbeTrial,Correct,StimulusDuration,GrayDuration,ChoiceDuration,ITIDuration,CorrectLocation,UpperRightChoice,LowerRightChoice,LowerLeftChoice,UpperLeftChoice,CorrectChoiceStim,ChoiceLocation,ChoiceStimuli,PercentFixationStim,MedianDistanceStim,Complete
1,5,Jeeves,2023-06-16,1,Chromatic,Nail,1,1,3,0,1,3,UpperRight,DarkBlue,LightRed,DarkGreen,LightGray,DarkBlue,UpperRight,DarkBlue,0.732342007434944,0.656032176977673,1
1,5,Jeeves,2023-06-16,2,Colors,LightGray,1,0,3,0,1,3,LowerRight,Bar,Venn,Hourglass,Nail,Venn,UpperRight,Bar,0.844444444444444,0.500415493282965,1
1,5,Jeeves,2023-06-16,3,Chromatic,Nail,1,0,3,0,1,3,UpperLeft,LightRed,DarkGreen,LightGray,DarkBlue,DarkBlue,LowerRight,DarkGreen,0.614814814814815,0.766482022711994,1
1,5,Jeeves,2023-06-16,4,Chromatic,Nail,1,1,3,0,1,3,LowerRight,LightGray,DarkBlue,DarkGreen,LightRed,DarkBlue,LowerRight,DarkBlue,0.8,0.48984698469683,1
1,5,Jeeves,2023-06-16,5,Chromatic,Hourglass,1,1,3,0,1,3,UpperLeft,DarkGreen,LightGray,DarkBlue,LightRed,LightRed,UpperLeft,LightRed,0.4,1.64008044244418,1
1,5,Jeeves,2023-06-16,6,Colors,LightRed,1,0,3,0,1,3,UpperRight,Hourglass,Venn,Nail,Bar,Hourglass,UpperLeft,Bar,0.8,0.500415493282965,1
1,5,Jeeves,2023-06-16,7,Chromatic,Nail,1,1,3,0,1,3,UpperRight,DarkBlue,DarkGreen,LightGray,LightRed,DarkBlue,UpperRight,DarkBlue,0.748148148148148,0.536243513359321,1
1,5,Jeeves,2023-06-16,8,Colors,DarkBlue,1,1,3,0,1,3,LowerRight,Bar,Nail,Venn,Hourglass,Nail,LowerRight,Nail,0.866666666666667,0.436380738362143,1
1,5,Jeeves,2023-06-16,9,Chromatic,Venn,1,0,3,0,1,3,UpperLeft,DarkGreen,DarkBlue,LightRed,LightGray,LightGray,LowerRight,DarkBlue,0.962962962962963,0.328016088488837,1
1,5,Jeeves,2023-06-16,10,Colors,LightRed,1,0,3,0,1,3,UpperRight,Hourglass,Nail,Bar,Venn,Hourglass,LowerRight,Nail,0.618518518518518,0.654571107543214,1
1,5,Jeeves,2023-06-16,11,Colors,DarkGreen,1,1,3,0,1,3,UpperRight,Bar,Venn,Hourglass,Nail,Bar,UpperRight,Bar,0.944444444444444,0.436380738362143,1
1,5,Jeeves,2023-06-16,12,Colors,DarkGreen,1,0,3,0,1,3,LowerLeft,Nail,Hourglass,Bar,Venn,Bar,LowerRight,Hourglass,0.62962962962963,0.536243513359321,1
1,5,Jeeves,2023-06-16,13,Chromatic,Hourglass,1,0,3,0,1,3,UpperRight,LightRed,LightGray,DarkGreen,DarkBlue,LightRed,UpperLeft,DarkBlue,0.92962962962963,0.436380738362143,1
1,5,Jeeves,2023-06-16,14,Colors,DarkBlue,1,0,3,0,1,3,UpperLeft,Bar,Venn,Hourglass,Nail,Nail,UpperRight,Bar,0.71003717472119,0.536243513359321,1
1,5,Jeeves,2023-06-16,15,Chromatic,Bar,1,0,3,0,1,3,LowerLeft,LightGray,LightRed,DarkGreen,DarkBlue,DarkGreen,UpperLeft,DarkBlue,0.687732342007435,0.654571107543214,1
